t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,dt_ms
4.620,-2.6675,1333.7,0.3621,0.0,-4.7822,0.9969,1270,24,125.71,-105.71,20.07
4.640,-2.6675,1333.7,0.3621,0.0,-4.7822,0.9969,1274,10,137.14,-105.71,20.08
4.660,-2.8323,1416.1,0.3644,0.0,-5.4560,1.1673,1305,6,142.86,-105.71,20.08
4.680,-2.8323,1416.1,0.3644,0.0,-5.4560,1.1673,1297,3,151.43,-105.71,20.08
4.700,-2.8323,1416.1,0.3644,0.0,-5.4560,1.1673,1378,1,157.14,-105.71,20.08
4.720,-3.0213,1510.6,0.4546,0.0,-5.9075,1.2724,1385,2,165.71,-105.71,20.07
4.740,-3.0213,1510.6,0.4546,0.0,-5.9075,1.2724,1386,0,174.29,-105.71,20.07
4.760,-3.1775,1588.8,0.6039,241.6,-6.2102,1.3509,1470,0,180.00,-105.71,20.10
4.780,-3.1775,1588.8,0.6039,241.6,-6.2102,1.3509,1484,0,191.43,-105.71,20.08
4.800,-3.1775,1588.8,0.6039,241.6,-6.2102,1.3509,1552,211,197.14,-105.71,20.08
4.820,-3.2528,1626.4,0.7752,310.1,-6.4263,1.4154,1550,198,208.57,-102.86,20.08
4.840,-3.2528,1626.4,0.7752,310.1,-6.4263,1.4154,1569,204,220.00,-102.86,20.07
4.860,-3.1999,1600.0,0.8705,348.2,-6.5076,1.5275,1619,285,225.71,-100.00,20.08
4.880,-3.1999,1600.0,0.8705,348.2,-6.5076,1.5275,1620,283,237.14,-100.00,20.08
4.900,-3.1999,1600.0,0.8705,348.2,-6.5076,1.5275,1583,348,242.86,-97.14,20.07
4.920,-3.0225,1511.2,0.8772,350.9,-6.5071,1.7039,1603,315,254.29,-97.14,20.07
4.940,-3.0225,1511.2,0.8772,350.9,-6.5071,1.7039,1579,321,265.71,-94.29,20.08
4.960,-2.6795,1339.7,0.8368,334.7,-6.3979,1.9381,1507,328,271.43,-91.43,20.08
4.980,-2.6795,1339.7,0.8368,334.7,-6.3979,1.9381,1504,349,282.86,-88.57,20.07
5.000,-2.6795,1339.7,0.8368,334.7,-6.3979,1.9381,1341,342,288.57,-88.57,20.08
5.020,-2.1427,1071.4,0.8255,330.2,-6.1400,2.0814,1348,316,294.29,-85.71,20.08
5.040,-2.1427,1071.4,0.8255,330.2,-6.1400,2.0814,1320,322,305.71,-82.86,20.07
5.060,-1.4047,702.4,0.7668,306.7,-5.7241,2.1747,1088,314,308.57,-82.86,20.08
5.080,-1.4047,702.4,0.7668,306.7,-5.7241,2.1747,1091,359,317.14,-80.00,20.08
5.100,-0.4417,-0.0,0.6072,242.9,-5.1977,2.1572,729,302,320.00,-77.14,20.08
5.120,-0.4417,-0.0,0.6072,242.9,-5.1977,2.1572,754,288,325.71,-77.14,20.07
5.140,-0.4417,-0.0,0.6072,242.9,-5.1977,2.1572,160,201,328.57,-74.29,20.07
5.160,0.6516,-325.8,0.3574,0.0,-4.5404,2.0319,165,264,328.57,-74.29,20.07
5.180,0.6516,-325.8,0.3574,0.0,-4.5404,2.0319,120,254,328.57,-71.43,20.08
5.200,1.5932,-796.6,0.0429,0.0,-3.7273,1.8838,-125,81,328.57,-71.43,20.07
